Origin,Destination,Distance_km
"Aldersgate Street, Barbican","Calshot Street , King's Cross",1.7975
"Aldersgate Street, Barbican","Cartwright Gardens , Bloomsbury",2.0742
"Aldersgate Street, Barbican","Chapel Place, Marylebone",3.5046
"Aldersgate Street, Barbican","Christopher Street, Liverpool Street",0.8824
"Aldersgate Street, Barbican","Clerkenwell Green, Clerkenwell",0.5764
"Aldersgate Street, Barbican","Cotton Garden Estate, Kennington",3.4025
"Aldersgate Street, Barbican","Crawford Street, Marylebone",4.1411
"Aldersgate Street, Barbican","Crosswall, Tower",1.7363
"Aldersgate Street, Barbican","Doric Way , Somers Town",2.5735
"Aldersgate Street, Barbican","Drummond Street , Euston",2.7737
"Aldersgate Street, Barbican","Drury Lane, Covent Garden",1.8491
"Aldersgate Street, Barbican","East Road, Hoxton",1.1071
"Aldersgate Street, Barbican","Edgware Road Station, Marylebone",5.0126
"Aldersgate Street, Barbican","Euston Road, Euston",2.6337
"Aldersgate Street, Barbican","Eversholt Street , Camden Town",3.0461
"Aldersgate Street, Barbican","Falkirk Street, Hoxton",1.7209
"Aldersgate Street, Barbican","Finsbury Circus, Liverpool Street",0.8479
"Aldersgate Street, Barbican","Finsbury Leisure Centre, St. Luke's",0.5788
"Aldersgate Street, Barbican","Finsbury Library , Finsbury",0.8116
"Aldersgate Street, Barbican","Finsbury Square , Moorgate",0.81
"Aldersgate Street, Barbican","Godliman Street, St. Paul's",0.9376
"Aldersgate Street, Barbican","Golden Lane, Barbican",0.2224
"Aldersgate Street, Barbican","Gower Place , Euston",2.6636
"Aldersgate Street, Barbican","Great Dover Street, The Borough",2.6651
"Aldersgate Street, Barbican","Great Russell Street, Bloomsbury",2.1395
"Aldersgate Street, Barbican","Guilford Street , Bloomsbury",1.6061
"Aldersgate Street, Barbican","Hampstead Road, Euston",2.8769
"Aldersgate Street, Barbican","Hardwick Street, Clerkenwell",1.0756
"Aldersgate Street, Barbican","Harrington Square 1, Camden Town",3.1952
"Aldersgate Street, Barbican","Hatton Garden, Holborn",0.7728
"Aldersgate Street, Barbican","Hatton Wall, Holborn",0.8123
"Aldersgate Street, Barbican","Hereford Road, Bayswater",6.6996
"Aldersgate Street, Barbican","Holborn Circus, Holborn",0.8465
"Aldersgate Street, Barbican","Holy Trinity Brompton, Knightsbridge",5.6155
"Aldersgate Street, Barbican","Hop Exchange, The Borough",1.8436
"Aldersgate Street, Barbican","Jewry Street, Aldgate",1.6446
"Aldersgate Street, Barbican","Leonard Circus , Shoreditch",0.9901
"Aldersgate Street, Barbican","Lisson Grove, St. John's Wood",5.2159
"Aldersgate Street, Barbican","Little Argyll Street, West End",3.1308
"Aldersgate Street, Barbican","Lollard Street, Vauxhall",3.3391
"Aldersgate Street, Barbican","Longford Street, The Regent's Park",3.2769
"Aldersgate Street, Barbican","Malet Street, Bloomsbury",2.2914
"Aldersgate Street, Barbican","Milroy Walk, South Bank",1.6325
"Aldersgate Street, Barbican","Murray Grove , Hoxton",1.2336
"Aldersgate Street, Barbican","Museum of London, Barbican",0.3409
"Aldersgate Street, Barbican","Nesham Street, Wapping",2.5997
"Aldersgate Street, Barbican","New Globe Walk, Bankside",1.4976
"Aldersgate Street, Barbican","New Inn Yard, Shoreditch",1.3171
"Aldersgate Street, Barbican","New Kent Road, The Borough",2.952
"Aldersgate Street, Barbican","Old Street Station, St. Luke's",0.8081
"Aldersgate Street, Barbican","Paddington Street, Marylebone",3.9689
"Aldersgate Street, Barbican","Park Lane , Hyde Park",4.3185
"Aldersgate Street, Barbican","Park Road (Baker Street), The Regent's Park",4.283
"Aldersgate Street, Barbican","Park Street, Bankside",1.6834
"Aldersgate Street, Barbican","Phillimore Gardens, Kensington",7.3275
"Aldersgate Street, Barbican","Queen Street 1, Bank",1.0768
"Aldersgate Street, Barbican","Queen Victoria Street, St. Paul's",0.9874
"Aldersgate Street, Barbican","River Street , Clerkenwell",1.2727
"Aldersgate Street, Barbican","Roscoe Street, St. Luke's",0.2879
"Aldersgate Street, Barbican","Russell Square Station, Bloomsbury",1.875
"Aldersgate Street, Barbican","Scala Street, Fitzrovia",2.6796
"Aldersgate Street, Barbican","Shoreditch Park, Hoxton",1.6522
"Aldersgate Street, Barbican","Soho Square , Soho",2.4893
"Aldersgate Street, Barbican","St. Chad's Street, King's Cross",1.9297
"Aldersgate Street, Barbican","St. John Street, Finsbury",0.9798
"Aldersgate Street, Barbican","Stamford Street, South Bank",1.9644
"Aldersgate Street, Barbican","Tachbrook Street, Victoria",4.2741
"Aldersgate Street, Barbican","Tanner Street, Bermondsey",2.5931
"Aldersgate Street, Barbican","Taviton Street, Bloomsbury",2.3863
"Aldersgate Street, Barbican","Theobald's Road , Holborn",1.339
"Aldersgate Street, Barbican","Torrens Street, Angel",1.3828
"Aldersgate Street, Barbican","Union Street, The Borough",1.909
"Aldersgate Street, Barbican","Vauxhall Bridge , Pimlico",4.2371
"Aldersgate Street, Barbican","Vauxhall Cross, Vauxhall",4.3136
"Aldersgate Street, Barbican","Wapping High Street, Wapping",2.6966
