Number,Start date,Start station number,Start station,End date,End station number,End station,Bike number,Bike model,Total duration,Total duration (ms),Start datetime,End datetime
137761960,2024-03-08,974,"Guilford Street , Bloomsbury",2024-03-08,973,"Bethnal Green Road, Shoreditch",52527,CLASSIC,16m 31s,991999,2024-03-08 16:18:00,2024-03-08 16:34:00
137761739,2024-03-08,967,"Golden Lane, Barbican",2024-03-08,980,"Malet Street, Bloomsbury",59367,CLASSIC,14m 50s,890948,2024-03-08 16:10:00,2024-03-08 16:25:00
137761664,2024-03-08,982,"Holborn Circus, Holborn",2024-03-08,963,"Bankside Mix, Bankside",21296,CLASSIC,41m 8s,2468680,2024-03-08 16:08:00,2024-03-08 16:49:00
137761562,2024-03-08,1009,"Taviton Street, Bloomsbury",2024-03-08,978,"Russell Square Station, Bloomsbury",56504,CLASSIC,3m 47s,227016,2024-03-08 16:03:00,2024-03-08 16:07:00
137761411,2024-03-08,980,"Malet Street, Bloomsbury",2024-03-08,981,"British Museum, Bloomsbury",58720,CLASSIC,2m 43s,163168,2024-03-08 15:57:00,2024-03-08 16:00:00
137761384,2024-03-08,978,"Russell Square Station, Bloomsbury",2024-03-08,981,"British Museum, Bloomsbury",51081,CLASSIC,50m 59s,3059667,2024-03-08 15:56:00,2024-03-08 16:47:00
137761378,2024-03-08,990,"Cotton Garden Estate, Kennington",2024-03-08,960,"Hop Exchange, The Borough",22312,CLASSIC,15m 30s,930270,2024-03-08 15:56:00,2024-03-08 16:11:00
137761202,2024-03-08,975,"Theobald's Road , Holborn",2024-03-08,1004,"Doric Way , Somers Town",51196,CLASSIC,9m 14s,554778,2024-03-08 15:48:00,2024-03-08 15:57:00
137761183,2024-03-08,1007,"Drury Lane, Covent Garden",2024-03-08,989,"Murray Grove , Hoxton",51686,CLASSIC,16m 56s,1016720,2024-03-08 15:47:00,2024-03-08 16:04:00
137761097,2024-03-08,999,"Queen Street 1, Bank",2024-03-08,996,"Borough High Street, The Borough",22810,CLASSIC,7m 39s,459912,2024-03-08 15:44:00,2024-03-08 15:52:00
137760842,2024-03-08,978,"Russell Square Station, Bloomsbury",2024-03-08,982,"Holborn Circus, Holborn",15928,CLASSIC,8m 55s,535226,2024-03-08 15:33:00,2024-03-08 15:42:00
137760843,2024-03-08,967,"Golden Lane, Barbican",2024-03-08,982,"Holborn Circus, Holborn",59197,CLASSIC,5m 23s,323582,2024-03-08 15:33:00,2024-03-08 15:39:00
137760769,2024-03-08,964,"Bath Street, St. Luke's",2024-03-08,989,"Murray Grove , Hoxton",52708,CLASSIC,4m 40s,280272,2024-03-08 15:31:00,2024-03-08 15:35:00
137760623,2024-03-08,1008,"Hatton Wall, Holborn",2024-03-08,1008,"Hatton Wall, Holborn",52409,CLASSIC,31m 40s,1900469,2024-03-08 15:24:00,2024-03-08 15:55:00
137760628,2024-03-08,978,"Russell Square Station, Bloomsbury",2024-03-08,978,"Russell Square Station, Bloomsbury",51081,CLASSIC,29m 43s,1783375,2024-03-08 15:24:00,2024-03-08 15:54:00
137760611,2024-03-08,982,"Holborn Circus, Holborn",2024-03-08,1007,"Drury Lane, Covent Garden",54671,CLASSIC,6m 4s,364213,2024-03-08 15:23:00,2024-03-08 15:29:00
137760497,2024-03-08,973,"Bethnal Green Road, Shoreditch",2024-03-08,961,"Union Street, The Borough",57057,CLASSIC,11m 3s,663307,2024-03-08 15:17:00,2024-03-08 15:29:00
137760444,2024-03-08,999,"Queen Street 1, Bank",2024-03-08,997,"Worship Street, Shoreditch",54402,CLASSIC,12m 5s,725241,2024-03-08 15:15:00,2024-03-08 15:27:00
137760388,2024-03-08,985,"Hatton Garden, Holborn",2024-03-08,982,"Holborn Circus, Holborn",56363,CLASSIC,55s,55972,2024-03-08 15:12:00,2024-03-08 15:13:00
137760296,2024-03-08,982,"Holborn Circus, Holborn",2024-03-08,978,"Russell Square Station, Bloomsbury",24154,CLASSIC,10m 46s,646204,2024-03-08 15:08:00,2024-03-08 15:19:00
137760115,2024-03-08,974,"Guilford Street , Bloomsbury",2024-03-08,1009,"Taviton Street, Bloomsbury",59051,CLASSIC,5m 29s,329346,2024-03-08 14:58:00,2024-03-08 15:03:00
137760100,2024-03-08,994,"Tanner Street, Bermondsey",2024-03-08,994,"Tanner Street, Bermondsey",53061,CLASSIC,35m 46s,2146794,2024-03-08 14:57:00,2024-03-08 15:33:00
137759945,2024-03-08,1002,"Holy Trinity Brompton, Knightsbridge",2024-03-08,1003,"Chapel Place, Marylebone",58782,CLASSIC,22m 48s,1368078,2024-03-08 14:51:00,2024-03-08 15:14:00
137759836,2024-03-08,1003,"Chapel Place, Marylebone",2024-03-08,1010,"Cartwright Gardens , Bloomsbury",53567,CLASSIC,16m 49s,1009517,2024-03-08 14:46:00,2024-03-08 15:03:00
137759752,2024-03-08,972,"Hampstead Road, Euston",2024-03-08,981,"British Museum, Bloomsbury",53916,CLASSIC,5m 26s,326777,2024-03-08 14:42:00,2024-03-08 14:47:00
137759713,2024-03-08,960,"Hop Exchange, The Borough",2024-03-08,959,"Milroy Walk, South Bank",56080,CLASSIC,3m 54s,234926,2024-03-08 14:40:00,2024-03-08 14:44:00
137759453,2024-03-08,1001,"West Cromwell Road, Earl's Court",2024-03-08,1001,"West Cromwell Road, Earl's Court",20261,CLASSIC,4m 45s,285487,2024-03-08 14:27:00,2024-03-08 14:32:00
137759465,2024-03-08,972,"Hampstead Road, Euston",2024-03-08,1004,"Doric Way , Somers Town",53029,CLASSIC,5m 29s,329906,2024-03-08 14:27:00,2024-03-08 14:33:00
137759368,2024-03-08,997,"Worship Street, Shoreditch",2024-03-08,973,"Bethnal Green Road, Shoreditch",22409,CLASSIC,5m 53s,353132,2024-03-08 14:23:00,2024-03-08 14:29:00
137759337,2024-03-08,966,"New Kent Road, The Borough",2024-03-08,998,"Lollard Street, Vauxhall",54075,CLASSIC,10m 9s,609418,2024-03-08 14:21:00,2024-03-08 14:31:00
137759291,2024-03-08,966,"New Kent Road, The Borough",2024-03-08,998,"Lollard Street, Vauxhall",57893,CLASSIC,12m 22s,742754,2024-03-08 14:19:00,2024-03-08 14:31:00
137759126,2024-03-08,974,"Guilford Street , Bloomsbury",2024-03-08,980,"Malet Street, Bloomsbury",57106,CLASSIC,4m 8s,248137,2024-03-08 14:10:00,2024-03-08 14:14:00
137758933,2024-03-08,974,"Guilford Street , Bloomsbury",2024-03-08,969,"Gower Place , Euston",58451,CLASSIC,29m 6s,1746022,2024-03-08 14:00:00,2024-03-08 14:29:00
137758936,2024-03-08,975,"Theobald's Road , Holborn",2024-03-08,980,"Malet Street, Bloomsbury",53373,CLASSIC,6m 41s,401915,2024-03-08 14:00:00,2024-03-08 14:07:00
137758764,2024-03-08,974,"Guilford Street , Bloomsbury",2024-03-08,969,"Gower Place , Euston",59191,CLASSIC,7m 19s,439445,2024-03-08 13:53:00,2024-03-08 14:00:00
137758753,2024-03-08,1008,"Hatton Wall, Holborn",2024-03-08,1008,"Hatton Wall, Holborn",53349,CLASSIC,16m 18s,978687,2024-03-08 13:52:00,2024-03-08 14:09:00
137758695,2024-03-08,1003,"Chapel Place, Marylebone",2024-03-08,983,"Euston Road, Euston",12953,CLASSIC,17m 6s,1026541,2024-03-08 13:50:00,2024-03-08 14:07:00
137758674,2024-03-08,979,"Wenlock Road , Hoxton",2024-03-08,984,"Finsbury Circus, Liverpool Street",51856,CLASSIC,9m 59s,599388,2024-03-08 13:49:00,2024-03-08 13:59:00
137758570,2024-03-08,1008,"Hatton Wall, Holborn",2024-03-08,982,"Holborn Circus, Holborn",59298,CLASSIC,2m 6s,126516,2024-03-08 13:44:00,2024-03-08 13:46:00
137758545,2024-03-08,1010,"Cartwright Gardens , Bloomsbury",2024-03-08,970,"Scala Street, Fitzrovia",30305,CLASSIC,9m 50s,590978,2024-03-08 13:43:00,2024-03-08 13:52:00
137758474,2024-03-08,962,"Stamford Street, South Bank",2024-03-08,960,"Hop Exchange, The Borough",58237,CLASSIC,6m 51s,411030,2024-03-08 13:40:00,2024-03-08 13:47:00
137758381,2024-03-08,959,"Milroy Walk, South Bank",2024-03-08,960,"Hop Exchange, The Borough",58328,CLASSIC,3m 22s,202647,2024-03-08 13:36:00,2024-03-08 13:39:00
137758229,2024-03-08,1007,"Drury Lane, Covent Garden",2024-03-08,982,"Holborn Circus, Holborn",55034,CLASSIC,7m 25s,445998,2024-03-08 13:29:00,2024-03-08 13:36:00
137758144,2024-03-08,991,"Crosswall, Tower",2024-03-08,960,"Hop Exchange, The Borough",24286,CLASSIC,8m 13s,493867,2024-03-08 13:25:00,2024-03-08 13:33:00
137758021,2024-03-08,967,"Golden Lane, Barbican",2024-03-08,967,"Golden Lane, Barbican",54895,CLASSIC,32m 4s,1924513,2024-03-08 13:20:00,2024-03-08 13:52:00
137758025,2024-03-08,963,"Bankside Mix, Bankside",2024-03-08,994,"Tanner Street, Bermondsey",56234,CLASSIC,8m 26s,506595,2024-03-08 13:20:00,2024-03-08 13:29:00
137757949,2024-03-08,1008,"Hatton Wall, Holborn",2024-03-08,960,"Hop Exchange, The Borough",54914,CLASSIC,10m 46s,646281,2024-03-08 13:17:00,2024-03-08 13:28:00
137757923,2024-03-08,960,"Hop Exchange, The Borough",2024-03-08,1011,"Argyle Street, Kings Cross",53378,CLASSIC,27m 10s,1630826,2024-03-08 13:16:00,2024-03-08 13:43:00
137757938,2024-03-08,1004,"Doric Way , Somers Town",2024-03-08,1005,"Eversholt Street , Camden Town",53873,CLASSIC,2m 39s,159435,2024-03-08 13:16:00,2024-03-08 13:19:00
137757861,2024-03-08,978,"Russell Square Station, Bloomsbury",2024-03-08,1009,"Taviton Street, Bloomsbury",56570,CLASSIC,2m 57s,177878,2024-03-08 13:13:00,2024-03-08 13:16:00
137757741,2024-03-08,960,"Hop Exchange, The Borough",2024-03-08,966,"New Kent Road, The Borough",53410,CLASSIC,6m 46s,406979,2024-03-08 13:07:00,2024-03-08 13:14:00
137757728,2024-03-08,981,"British Museum, Bloomsbury",2024-03-08,972,"Hampstead Road, Euston",53916,CLASSIC,6m 16s,376965,2024-03-08 13:06:00,2024-03-08 13:13:00
137757316,2024-03-08,990,"Cotton Garden Estate, Kennington",2024-03-08,960,"Hop Exchange, The Borough",21128,CLASSIC,8m 47s,527405,2024-03-08 12:45:00,2024-03-08 12:54:00
137757319,2024-03-08,961,"Union Street, The Borough",2024-03-08,961,"Union Street, The Borough",55320,CLASSIC,40m 6s,2406494,2024-03-08 12:45:00,2024-03-08 13:26:00
137757288,2024-03-08,980,"Malet Street, Bloomsbury",2024-03-08,1008,"Hatton Wall, Holborn",55066,CLASSIC,13m 0s,780401,2024-03-08 12:44:00,2024-03-08 12:57:00
137756976,2024-03-08,1009,"Taviton Street, Bloomsbury",2024-03-08,1009,"Taviton Street, Bloomsbury",51983,CLASSIC,12s,12948,2024-03-08 12:28:00,2024-03-08 12:29:00
137756901,2024-03-08,996,"Borough High Street, The Borough",2024-03-08,962,"Stamford Street, South Bank",56030,CLASSIC,10m 8s,608041,2024-03-08 12:25:00,2024-03-08 12:35:00
137756807,2024-03-08,975,"Theobald's Road , Holborn",2024-03-08,972,"Hampstead Road, Euston",59540,CLASSIC,12m 23s,743219,2024-03-08 12:20:00,2024-03-08 12:33:00
137756721,2024-03-08,1007,"Drury Lane, Covent Garden",2024-03-08,1011,"Argyle Street, Kings Cross",53763,CLASSIC,19m 1s,1141656,2024-03-08 12:17:00,2024-03-08 12:36:00
137756688,2024-03-08,992,"St. John Street, Finsbury",2024-03-08,992,"St. John Street, Finsbury",50066,CLASSIC,1m 45s,105184,2024-03-08 12:15:00,2024-03-08 12:17:00
137756638,2024-03-08,1011,"Argyle Street, Kings Cross",2024-03-08,974,"Guilford Street , Bloomsbury",59915,CLASSIC,4m 38s,278878,2024-03-08 12:13:00,2024-03-08 12:17:00
137756461,2024-03-08,972,"Hampstead Road, Euston",2024-03-08,975,"Theobald's Road , Holborn",59540,CLASSIC,12m 7s,727962,2024-03-08 12:05:00,2024-03-08 12:17:00
137756462,2024-03-08,963,"Bankside Mix, Bankside",2024-03-08,963,"Bankside Mix, Bankside",58584,CLASSIC,25m 4s,1504157,2024-03-08 12:05:00,2024-03-08 12:30:00
137756360,2024-03-08,1011,"Argyle Street, Kings Cross",2024-03-08,1011,"Argyle Street, Kings Cross",53717,CLASSIC,5m 16s,316093,2024-03-08 12:00:00,2024-03-08 12:05:00
137756366,2024-03-08,973,"Bethnal Green Road, Shoreditch",2024-03-08,973,"Bethnal Green Road, Shoreditch",40201,CLASSIC,20m 17s,1217873,2024-03-08 12:00:00,2024-03-08 12:21:00
137755872,2024-03-08,991,"Crosswall, Tower",2024-03-08,959,"Milroy Walk, South Bank",58690,CLASSIC,11m 24s,684214,2024-03-08 11:34:00,2024-03-08 11:46:00
137755852,2024-03-08,988,"Great Russell Street, Bloomsbury",2024-03-08,1011,"Argyle Street, Kings Cross",53717,CLASSIC,9m 52s,592060,2024-03-08 11:33:00,2024-03-08 11:43:00
137755821,2024-03-08,1011,"Argyle Street, Kings Cross",2024-03-08,963,"Bankside Mix, Bankside",56758,CLASSIC,15m 30s,930758,2024-03-08 11:31:00,2024-03-08 11:47:00
137755756,2024-03-08,994,"Tanner Street, Bermondsey",2024-03-08,961,"Union Street, The Borough",55320,CLASSIC,6m 34s,394737,2024-03-08 11:28:00,2024-03-08 11:34:00
137755696,2024-03-08,992,"St. John Street, Finsbury",2024-03-08,992,"St. John Street, Finsbury",50066,CLASSIC,37s,37601,2024-03-08 11:25:00,2024-03-08 11:25:00
137755675,2024-03-08,980,"Malet Street, Bloomsbury",2024-03-08,975,"Theobald's Road , Holborn",58223,CLASSIC,7m 27s,447758,2024-03-08 11:23:00,2024-03-08 11:31:00
137755644,2024-03-08,981,"British Museum, Bloomsbury",2024-03-08,974,"Guilford Street , Bloomsbury",53617,CLASSIC,6m 17s,377432,2024-03-08 11:22:00,2024-03-08 11:28:00
137755501,2024-03-08,991,"Crosswall, Tower",2024-03-08,981,"British Museum, Bloomsbury",54080,CLASSIC,21m 59s,1319473,2024-03-08 11:14:00,2024-03-08 11:36:00
137755459,2024-03-08,991,"Crosswall, Tower",2024-03-08,991,"Crosswall, Tower",54481,CLASSIC,23m 33s,1413007,2024-03-08 11:12:00,2024-03-08 11:35:00
137755332,2024-03-08,966,"New Kent Road, The Borough",2024-03-08,960,"Hop Exchange, The Borough",56500,CLASSIC,5m 51s,351828,2024-03-08 11:04:00,2024-03-08 11:10:00
137755303,2024-03-08,981,"British Museum, Bloomsbury",2024-03-08,991,"Crosswall, Tower",51698,CLASSIC,54m 21s,3261681,2024-03-08 11:03:00,2024-03-08 11:57:00
137755294,2024-03-08,975,"Theobald's Road , Holborn",2024-03-08,984,"Finsbury Circus, Liverpool Street",52700,CLASSIC,12m 57s,777674,2024-03-08 11:02:00,2024-03-08 11:15:00
137755283,2024-03-08,969,"Gower Place , Euston",2024-03-08,981,"British Museum, Bloomsbury",58895,CLASSIC,4m 52s,292578,2024-03-08 11:01:00,2024-03-08 11:06:00
137755287,2024-03-08,966,"New Kent Road, The Borough",2024-03-08,965,"Tachbrook Street, Victoria",54346,CLASSIC,16m 30s,990807,2024-03-08 11:02:00,2024-03-08 11:18:00
137755197,2024-03-08,1009,"Taviton Street, Bloomsbury",2024-03-08,974,"Guilford Street , Bloomsbury",53662,CLASSIC,3m 47s,227490,2024-03-08 10:56:00,2024-03-08 11:00:00
137755163,2024-03-08,1011,"Argyle Street, Kings Cross",2024-03-08,975,"Theobald's Road , Holborn",23903,CLASSIC,6m 36s,396655,2024-03-08 10:55:00,2024-03-08 11:01:00
137755086,2024-03-08,981,"British Museum, Bloomsbury",2024-03-08,980,"Malet Street, Bloomsbury",52264,CLASSIC,3m 39s,219376,2024-03-08 10:51:00,2024-03-08 10:54:00
137754903,2024-03-08,962,"Stamford Street, South Bank",2024-03-08,971,"Godliman Street, St. Paul's",22191,CLASSIC,7m 23s,443691,2024-03-08 10:41:00,2024-03-08 10:48:00
137754909,2024-03-08,1011,"Argyle Street, Kings Cross",2024-03-08,970,"Scala Street, Fitzrovia",21700,CLASSIC,7m 43s,463437,2024-03-08 10:41:00,2024-03-08 10:49:00
137754838,2024-03-08,959,"Milroy Walk, South Bank",2024-03-08,960,"Hop Exchange, The Borough",12990,CLASSIC,5m 49s,349137,2024-03-08 10:38:00,2024-03-08 10:44:00
137754739,2024-03-08,959,"Milroy Walk, South Bank",2024-03-08,991,"Crosswall, Tower",54481,CLASSIC,23m 23s,1403479,2024-03-08 10:31:00,2024-03-08 10:55:00
137754715,2024-03-08,998,"Lollard Street, Vauxhall",2024-03-08,969,"Gower Place , Euston",51000,CLASSIC,20m 8s,1208700,2024-03-08 10:30:00,2024-03-08 10:51:00
137754599,2024-03-08,959,"Milroy Walk, South Bank",2024-03-08,963,"Bankside Mix, Bankside",56234,CLASSIC,24m 54s,1494511,2024-03-08 10:24:00,2024-03-08 10:48:00
137754547,2024-03-08,960,"Hop Exchange, The Borough",2024-03-08,990,"Cotton Garden Estate, Kennington",41562,CLASSIC,9m 42s,582104,2024-03-08 10:21:00,2024-03-08 10:31:00
137754424,2024-03-08,1003,"Chapel Place, Marylebone",2024-03-08,981,"British Museum, Bloomsbury",35098,CLASSIC,9m 14s,554471,2024-03-08 10:14:00,2024-03-08 10:23:00
137754426,2024-03-08,1008,"Hatton Wall, Holborn",2024-03-08,980,"Malet Street, Bloomsbury",52756,CLASSIC,10m 7s,607675,2024-03-08 10:14:00,2024-03-08 10:24:00
137754232,2024-03-08,990,"Cotton Garden Estate, Kennington",2024-03-08,960,"Hop Exchange, The Borough",58069,CLASSIC,8m 33s,513232,2024-03-08 10:01:00,2024-03-08 10:10:00
137754205,2024-03-08,974,"Guilford Street , Bloomsbury",2024-03-08,981,"British Museum, Bloomsbury",59687,CLASSIC,3m 34s,214629,2024-03-08 10:00:00,2024-03-08 10:04:00
137754162,2024-03-08,999,"Queen Street 1, Bank",2024-03-08,981,"British Museum, Bloomsbury",53617,CLASSIC,39m 43s,2383157,2024-03-08 09:58:00,2024-03-08 10:38:00
137754164,2024-03-08,1004,"Doric Way , Somers Town",2024-03-08,975,"Theobald's Road , Holborn",51196,CLASSIC,8m 52s,532867,2024-03-08 09:58:00,2024-03-08 10:07:00
137754076,2024-03-08,1007,"Drury Lane, Covent Garden",2024-03-08,999,"Queen Street 1, Bank",23651,CLASSIC,10m 59s,659354,2024-03-08 09:54:00,2024-03-08 10:05:00
137753984,2024-03-08,1007,"Drury Lane, Covent Garden",2024-03-08,999,"Queen Street 1, Bank",40323,CLASSIC,14m 41s,881631,2024-03-08 09:51:00,2024-03-08 10:05:00
137754001,2024-03-08,1011,"Argyle Street, Kings Cross",2024-03-08,1008,"Hatton Wall, Holborn",21124,CLASSIC,9m 52s,592851,2024-03-08 09:51:00,2024-03-08 10:01:00
137753950,2024-03-08,967,"Golden Lane, Barbican",2024-03-08,997,"Worship Street, Shoreditch",21636,CLASSIC,8m 27s,507831,2024-03-08 09:49:00,2024-03-08 09:58:00
137753771,2024-03-08,986,"Finsbury Library , Finsbury",2024-03-08,1010,"Cartwright Gardens , Bloomsbury",55846,CLASSIC,11m 44s,704437,2024-03-08 09:40:00,2024-03-08 09:52:00
137753756,2024-03-08,963,"Bankside Mix, Bankside",2024-03-08,962,"Stamford Street, South Bank",55552,CLASSIC,2m 53s,173121,2024-03-08 09:40:00,2024-03-08 09:42:00
137753434,2024-03-08,969,"Gower Place , Euston",2024-03-08,978,"Russell Square Station, Bloomsbury",54425,CLASSIC,4m 50s,290756,2024-03-08 09:26:00,2024-03-08 09:30:00
137753410,2024-03-08,999,"Queen Street 1, Bank",2024-03-08,984,"Finsbury Circus, Liverpool Street",22085,CLASSIC,3m 49s,229165,2024-03-08 09:25:00,2024-03-08 09:29:00
137753318,2024-03-08,994,"Tanner Street, Bermondsey",2024-03-08,961,"Union Street, The Borough",11886,CLASSIC,7m 5s,425313,2024-03-08 09:21:00,2024-03-08 09:29:00
137753268,2024-03-08,992,"St. John Street, Finsbury",2024-03-08,1009,"Taviton Street, Bloomsbury",59952,CLASSIC,11m 21s,681455,2024-03-08 09:20:00,2024-03-08 09:31:00
137753219,2024-03-08,966,"New Kent Road, The Borough",2024-03-08,994,"Tanner Street, Bermondsey",53489,CLASSIC,6m 33s,393642,2024-03-08 09:18:00,2024-03-08 09:24:00
137753054,2024-03-08,984,"Finsbury Circus, Liverpool Street",2024-03-08,984,"Finsbury Circus, Liverpool Street",30925,CLASSIC,4m 51s,291091,2024-03-08 09:12:00,2024-03-08 09:17:00
137752966,2024-03-08,964,"Bath Street, St. Luke's",2024-03-08,980,"Malet Street, Bloomsbury",55573,CLASSIC,17m 17s,1037793,2024-03-08 09:09:00,2024-03-08 09:26:00
137752926,2024-03-08,973,"Bethnal Green Road, Shoreditch",2024-03-08,1007,"Drury Lane, Covent Garden",58092,CLASSIC,17m 10s,1030638,2024-03-08 09:07:00,2024-03-08 09:24:00
137752846,2024-03-08,1010,"Cartwright Gardens , Bloomsbury",2024-03-08,980,"Malet Street, Bloomsbury",41617,CLASSIC,4m 57s,297254,2024-03-08 09:05:00,2024-03-08 09:10:00
137752763,2024-03-08,978,"Russell Square Station, Bloomsbury",2024-03-08,1004,"Doric Way , Somers Town",55841,CLASSIC,5m 22s,322858,2024-03-08 09:03:00,2024-03-08 09:08:00
137752687,2024-03-08,964,"Bath Street, St. Luke's",2024-03-08,964,"Bath Street, St. Luke's",58680,CLASSIC,23s,23586,2024-03-08 09:00:00,2024-03-08 09:01:00
137752544,2024-03-08,996,"Borough High Street, The Borough",2024-03-08,960,"Hop Exchange, The Borough",16839,CLASSIC,2m 12s,132012,2024-03-08 08:56:00,2024-03-08 08:59:00
137752452,2024-03-08,996,"Borough High Street, The Borough",2024-03-08,996,"Borough High Street, The Borough",16839,CLASSIC,23s,23899,2024-03-08 08:54:00,2024-03-08 08:54:00
137752330,2024-03-08,984,"Finsbury Circus, Liverpool Street",2024-03-08,982,"Holborn Circus, Holborn",58592,CLASSIC,7m 56s,476641,2024-03-08 08:51:00,2024-03-08 08:59:00
137752250,2024-03-08,999,"Queen Street 1, Bank",2024-03-08,997,"Worship Street, Shoreditch",57782,CLASSIC,7m 8s,428296,2024-03-08 08:49:00,2024-03-08 08:57:00
137751753,2024-03-08,1011,"Argyle Street, Kings Cross",2024-03-08,970,"Scala Street, Fitzrovia",50972,CLASSIC,10m 49s,649253,2024-03-08 08:38:00,2024-03-08 08:49:00
137751661,2024-03-08,961,"Union Street, The Borough",2024-03-08,960,"Hop Exchange, The Borough",57810,CLASSIC,2m 50s,170052,2024-03-08 08:37:00,2024-03-08 08:39:00
137751583,2024-03-08,972,"Hampstead Road, Euston",2024-03-08,972,"Hampstead Road, Euston",41875,CLASSIC,36m 24s,2184192,2024-03-08 08:35:00,2024-03-08 09:11:00
137751586,2024-03-08,1011,"Argyle Street, Kings Cross",2024-03-08,982,"Holborn Circus, Holborn",53492,CLASSIC,9m 12s,552585,2024-03-08 08:35:00,2024-03-08 08:44:00
137751431,2024-03-08,986,"Finsbury Library , Finsbury",2024-03-08,988,"Great Russell Street, Bloomsbury",52204,CLASSIC,9m 49s,589271,2024-03-08 08:31:00,2024-03-08 08:41:00
137751332,2024-03-08,1011,"Argyle Street, Kings Cross",2024-03-08,1003,"Chapel Place, Marylebone",13611,CLASSIC,15m 44s,944970,2024-03-08 08:29:00,2024-03-08 08:45:00
137751295,2024-03-08,982,"Holborn Circus, Holborn",2024-03-08,967,"Golden Lane, Barbican",54895,CLASSIC,6m 58s,418963,2024-03-08 08:28:00,2024-03-08 08:35:00
137751239,2024-03-08,1011,"Argyle Street, Kings Cross",2024-03-08,974,"Guilford Street , Bloomsbury",51790,CLASSIC,4m 47s,287918,2024-03-08 08:27:00,2024-03-08 08:32:00
137750957,2024-03-08,992,"St. John Street, Finsbury",2024-03-08,1003,"Chapel Place, Marylebone",54925,CLASSIC,21m 44s,1304521,2024-03-08 08:19:00,2024-03-08 08:41:00
137750927,2024-03-08,975,"Theobald's Road , Holborn",2024-03-08,1004,"Doric Way , Somers Town",12670,CLASSIC,6m 13s,373076,2024-03-08 08:19:00,2024-03-08 08:25:00
137750711,2024-03-08,979,"Wenlock Road , Hoxton",2024-03-08,985,"Hatton Garden, Holborn",51706,CLASSIC,8m 45s,525484,2024-03-08 08:12:00,2024-03-08 08:21:00
137750471,2024-03-08,964,"Bath Street, St. Luke's",2024-03-08,979,"Wenlock Road , Hoxton",51706,CLASSIC,3m 38s,218889,2024-03-08 08:05:00,2024-03-08 08:09:00
137750429,2024-03-08,998,"Lollard Street, Vauxhall",2024-03-08,998,"Lollard Street, Vauxhall",52886,CLASSIC,26s,26408,2024-03-08 08:04:00,2024-03-08 08:04:00
137750331,2024-03-08,962,"Stamford Street, South Bank",2024-03-08,960,"Hop Exchange, The Borough",58835,CLASSIC,4m 34s,274200,2024-03-08 08:01:00,2024-03-08 08:06:00
137750350,2024-03-08,968,"Warwick Row, Westminster",2024-03-08,980,"Malet Street, Bloomsbury",53538,CLASSIC,14m 34s,874077,2024-03-08 08:01:00,2024-03-08 08:16:00
137750221,2024-03-08,976,"Longford Street, The Regent's Park",2024-03-08,982,"Holborn Circus, Holborn",55558,CLASSIC,13m 31s,811831,2024-03-08 07:57:00,2024-03-08 08:10:00
137750133,2024-03-08,994,"Tanner Street, Bermondsey",2024-03-08,994,"Tanner Street, Bermondsey",53061,CLASSIC,38m 26s,2306428,2024-03-08 07:54:00,2024-03-08 08:32:00
137750015,2024-03-08,990,"Cotton Garden Estate, Kennington",2024-03-08,998,"Lollard Street, Vauxhall",58764,CLASSIC,3m 59s,239569,2024-03-08 07:50:00,2024-03-08 07:54:00
137749855,2024-03-08,960,"Hop Exchange, The Borough",2024-03-08,999,"Queen Street 1, Bank",30231,CLASSIC,3m 45s,225667,2024-03-08 07:44:00,2024-03-08 07:47:00
137749801,2024-03-08,967,"Golden Lane, Barbican",2024-03-08,1011,"Argyle Street, Kings Cross",55322,CLASSIC,12m 3s,723197,2024-03-08 07:42:00,2024-03-08 07:54:00
137749820,2024-03-08,971,"Godliman Street, St. Paul's",2024-03-08,1004,"Doric Way , Somers Town",56144,CLASSIC,16m 35s,995599,2024-03-08 07:42:00,2024-03-08 07:59:00
137749778,2024-03-08,1011,"Argyle Street, Kings Cross",2024-03-08,974,"Guilford Street , Bloomsbury",59051,CLASSIC,4m 52s,292398,2024-03-08 07:41:00,2024-03-08 07:46:00
137749741,2024-03-08,991,"Crosswall, Tower",2024-03-08,982,"Holborn Circus, Holborn",59078,CLASSIC,8m 22s,502792,2024-03-08 07:40:00,2024-03-08 07:48:00
137749759,2024-03-08,988,"Great Russell Street, Bloomsbury",2024-03-08,1003,"Chapel Place, Marylebone",35098,CLASSIC,6m 0s,360980,2024-03-08 07:41:00,2024-03-08 07:47:00
137749704,2024-03-08,1005,"Eversholt Street , Camden Town",2024-03-08,974,"Guilford Street , Bloomsbury",23846,CLASSIC,10m 23s,623162,2024-03-08 07:39:00,2024-03-08 07:49:00
137749617,2024-03-08,1011,"Argyle Street, Kings Cross",2024-03-08,974,"Guilford Street , Bloomsbury",55239,CLASSIC,3m 54s,234777,2024-03-08 07:35:00,2024-03-08 07:39:00
137749449,2024-03-08,960,"Hop Exchange, The Borough",2024-03-08,960,"Hop Exchange, The Borough",22712,CLASSIC,16m 36s,996699,2024-03-08 07:27:00,2024-03-08 07:44:00
137749376,2024-03-08,986,"Finsbury Library , Finsbury",2024-03-08,961,"Union Street, The Borough",55421,CLASSIC,13m 15s,795316,2024-03-08 07:24:00,2024-03-08 07:37:00
