id,name,lat,long,capacity,EndofDayBikes
195,"Milroy Walk, South Bank",51.50724437,-0.106237501,38,23
292,"Montpelier Street, Knightsbridge",51.49888404,-0.165471605,21,13
215,"Moorfields, Moorgate",51.51906932,-0.088285377,68,41
63,"Murray Grove , Hoxton",51.53089041,-0.089782579,34,21
126,"Museum of London, Barbican",51.51782144,-0.096496865,66,40
46,"Nesham Street, Wapping",51.507131,-0.06691,21,13
332,"Nevern Place, Earl's Court",51.49334336,-0.194757949,26,16
9,"New Globe Walk, Bankside",51.5073853,-0.096440751,24,15
58,"New Inn Yard, Shoreditch",51.52452699,-0.079248081,26,16
156,"New Kent Road, The Borough",51.49443626,-0.092921165,42,26
206,"New Road 1 , Whitechapel",51.518154,-0.062697,46,28
71,"Newgate Street , St. Paul's",51.515768,-0.09989400000000614,45,27
180,"North Audley Street, Mayfair",51.5129118,-0.153645496,22,14
279,"North Wharf Road, Paddington",51.518623,-0.17660300000000007,29,18
354,"Northumberland Avenue, Strand",51.506767,-0.123702,47,29
122,"Norton Folgate, Liverpool Street",51.52111369,-0.078869751,29,18
225,"Notting Hill Gate Station, Notting Hill",51.50935342,-0.196422,38,23
188,"Nutford Place, Marylebone",51.5165179,-0.164393768,23,14
99,"Old Quebec Street, Marylebone",51.51457763,-0.158264483,21,13
73,"Old Street Station, St. Luke's",51.525615,-0.08853260000000773,43,26
324,"Ontario Street, Elephant & Castle",51.49652013,-0.101384068,19,12
56,"Paddington Street, Marylebone",51.52058381,-0.154701411,21,13
404,"Palace Gate, Kensington Gardens",51.50204238,-0.184400221,17,11
233,"Pall Mall East, West End",51.50777049,-0.130699733,28,17
111,"Park Lane , Hyde Park",51.5100172,-0.157275636,36,22
114,"Park Road (Baker Street), The Regent's Park",51.52451738,-0.158963647,28,17
10,"Park Street, Bankside",51.50597426,-0.092754157,23,14
2,"Phillimore Gardens, Kensington",51.49960695,-0.197574246,47,29
143,"Pont Street, Knightsbridge",51.4968865,-0.161203828,31,19
